index,Unnamed: 0,AP_Window,AP_Time,Sweep,Peak,AP_Timing,experiment_name,analysis_id,experiment_label,species,celltype,meta_data
0,0,-0.04284375,69.05,sweep_13,1,1,201229_07,-1,Aps,Human,iPSC,201229_07
1,1,-0.0428125,69.075,sweep_13,1,2,201229_07,-1,Aps,Human,iPSC,201229_07
2,2,-0.04265625,69.1,sweep_13,1,3,201229_07,-1,Aps,Human,iPSC,201229_07
3,3,-0.042625001,69.125,sweep_13,1,4,201229_07,-1,Aps,Human,iPSC,201229_07
4,4,-0.042500001,69.15,sweep_13,1,5,201229_07,-1,Aps,Human,iPSC,201229_07
5,5,-0.04240625,69.175,sweep_13,1,6,201229_07,-1,Aps,Human,iPSC,201229_07
6,6,-0.042312501,69.2,sweep_13,1,7,201229_07,-1,Aps,Human,iPSC,201229_07
7,7,-0.04228125,69.225,sweep_13,1,8,201229_07,-1,Aps,Human,iPSC,201229_07
8,8,-0.042218751,69.25,sweep_13,1,9,201229_07,-1,Aps,Human,iPSC,201229_07
9,9,-0.04209375,69.275,sweep_13,1,10,201229_07,-1,Aps,Human,iPSC,201229_07
10,10,-0.041874999,69.3,sweep_13,1,11,201229_07,-1,Aps,Human,iPSC,201229_07
11,11,-0.04184375,69.325,sweep_13,1,12,201229_07,-1,Aps,Human,iPSC,201229_07
12,12,-0.0418125,69.35,sweep_13,1,13,201229_07,-1,Aps,Human,iPSC,201229_07
13,13,-0.04171875,69.375,sweep_13,1,14,201229_07,-1,Aps,Human,iPSC,201229_07
14,14,-0.04171875,69.4,sweep_13,1,15,201229_07,-1,Aps,Human,iPSC,201229_07
15,15,-0.04165625,69.425,sweep_13,1,16,201229_07,-1,Aps,Human,iPSC,201229_07
16,16,-0.0415,69.45,sweep_13,1,17,201229_07,-1,Aps,Human,iPSC,201229_07
17,17,-0.041343751,69.475,sweep_13,1,18,201229_07,-1,Aps,Human,iPSC,201229_07
18,18,-0.04128125,69.5,sweep_13,1,19,201229_07,-1,Aps,Human,iPSC,201229_07
19,19,-0.041312501,69.525,sweep_13,1,20,201229_07,-1,Aps,Human,iPSC,201229_07
20,20,-0.041312501,69.55,sweep_13,1,21,201229_07,-1,Aps,Human,iPSC,201229_07
21,21,-0.04125,69.575,sweep_13,1,22,201229_07,-1,Aps,Human,iPSC,201229_07
22,22,-0.040875001,69.6,sweep_13,1,23,201229_07,-1,Aps,Human,iPSC,201229_07
23,23,-0.0406875,69.625,sweep_13,1,24,201229_07,-1,Aps,Human,iPSC,201229_07
24,24,-0.040718751,69.65,sweep_13,1,25,201229_07,-1,Aps,Human,iPSC,201229_07
25,25,-0.040750001,69.675,sweep_13,1,26,201229_07,-1,Aps,Human,iPSC,201229_07
26,26,-0.0406875,69.7,sweep_13,1,27,201229_07,-1,Aps,Human,iPSC,201229_07
27,27,-0.04040625,69.725,sweep_13,1,28,201229_07,-1,Aps,Human,iPSC,201229_07
28,28,-0.04025,69.75,sweep_13,1,29,201229_07,-1,Aps,Human,iPSC,201229_07
29,29,-0.03996875,69.775,sweep_13,1,30,201229_07,-1,Aps,Human,iPSC,201229_07
30,30,-0.039875001,69.8,sweep_13,1,31,201229_07,-1,Aps,Human,iPSC,201229_07
31,31,-0.03978125,69.825,sweep_13,1,32,201229_07,-1,Aps,Human,iPSC,201229_07
32,32,-0.03978125,69.85,sweep_13,1,33,201229_07,-1,Aps,Human,iPSC,201229_07
33,33,-0.03978125,69.875,sweep_13,1,34,201229_07,-1,Aps,Human,iPSC,201229_07
34,34,-0.039593751,69.9,sweep_13,1,35,201229_07,-1,Aps,Human,iPSC,201229_07
35,35,-0.039312501,69.925,sweep_13,1,36,201229_07,-1,Aps,Human,iPSC,201229_07
36,36,-0.039124999,69.95,sweep_13,1,37,201229_07,-1,Aps,Human,iPSC,201229_07
37,37,-0.0389375,69.975,sweep_13,1,38,201229_07,-1,Aps,Human,iPSC,201229_07
38,38,-0.03865625,70,sweep_13,1,39,201229_07,-1,Aps,Human,iPSC,201229_07
39,39,-0.03846875,70.025,sweep_13,1,40,201229_07,-1,Aps,Human,iPSC,201229_07
40,40,-0.038281251,70.05,sweep_13,1,41,201229_07,-1,Aps,Human,iPSC,201229_07
41,41,-0.03821875,70.075,sweep_13,1,42,201229_07,-1,Aps,Human,iPSC,201229_07
42,42,-0.03803125,70.1,sweep_13,1,43,201229_07,-1,Aps,Human,iPSC,201229_07
43,43,-0.037843751,70.125,sweep_13,1,44,201229_07,-1,Aps,Human,iPSC,201229_07
44,44,-0.037531249,70.15,sweep_13,1,45,201229_07,-1,Aps,Human,iPSC,201229_07
45,45,-0.0373125,70.175,sweep_13,1,46,201229_07,-1,Aps,Human,iPSC,201229_07
46,46,-0.037250001,70.2,sweep_13,1,47,201229_07,-1,Aps,Human,iPSC,201229_07
47,47,-0.0369375,70.225,sweep_13,1,48,201229_07,-1,Aps,Human,iPSC,201229_07
48,48,-0.03659375,70.25,sweep_13,1,49,201229_07,-1,Aps,Human,iPSC,201229_07
49,49,-0.036250001,70.275,sweep_13,1,50,201229_07,-1,Aps,Human,iPSC,201229_07
50,50,-0.03603125,70.3,sweep_13,1,51,201229_07,-1,Aps,Human,iPSC,201229_07
51,51,-0.035843751,70.325,sweep_13,1,52,201229_07,-1,Aps,Human,iPSC,201229_07
52,52,-0.035687501,70.35,sweep_13,1,53,201229_07,-1,Aps,Human,iPSC,201229_07
53,53,-0.0353125,70.375,sweep_13,1,54,201229_07,-1,Aps,Human,iPSC,201229_07
54,54,-0.034687501,70.4,sweep_13,1,55,201229_07,-1,Aps,Human,iPSC,201229_07
55,55,-0.034218751,70.425,sweep_13,1,56,201229_07,-1,Aps,Human,iPSC,201229_07
56,56,-0.03390625,70.45,sweep_13,1,57,201229_07,-1,Aps,Human,iPSC,201229_07
57,57,-0.03346875,70.475,sweep_13,1,58,201229_07,-1,Aps,Human,iPSC,201229_07
58,58,-0.03296875,70.5,sweep_13,1,59,201229_07,-1,Aps,Human,iPSC,201229_07
59,59,-0.03240625,70.525,sweep_13,1,60,201229_07,-1,Aps,Human,iPSC,201229_07
60,60,-0.031781251,70.55,sweep_13,1,61,201229_07,-1,Aps,Human,iPSC,201229_07
61,61,-0.031218751,70.575,sweep_13,1,62,201229_07,-1,Aps,Human,iPSC,201229_07
62,62,-0.030500001,70.6,sweep_13,1,63,201229_07,-1,Aps,Human,iPSC,201229_07
63,63,-0.029625001,70.625,sweep_13,1,64,201229_07,-1,Aps,Human,iPSC,201229_07
64,64,-0.028562501,70.65,sweep_13,1,65,201229_07,-1,Aps,Human,iPSC,201229_07
65,65,-0.027531251,70.675,sweep_13,1,66,201229_07,-1,Aps,Human,iPSC,201229_07
66,66,-0.02646875,70.7,sweep_13,1,67,201229_07,-1,Aps,Human,iPSC,201229_07
67,67,-0.02503125,70.725,sweep_13,1,68,201229_07,-1,Aps,Human,iPSC,201229_07
68,68,-0.023468752,70.75,sweep_13,1,69,201229_07,-1,Aps,Human,iPSC,201229_07
69,69,-0.021562502,70.775,sweep_13,1,70,201229_07,-1,Aps,Human,iPSC,201229_07
70,70,-0.01921875,70.8,sweep_13,1,71,201229_07,-1,Aps,Human,iPSC,201229_07
71,71,-0.016468749,70.825,sweep_13,1,72,201229_07,-1,Aps,Human,iPSC,201229_07
72,72,-0.013406251,70.85,sweep_13,1,73,201229_07,-1,Aps,Human,iPSC,201229_07
