index,Unnamed: 0,Vmem [mV],Threshold_Amplitude [mV],t_Threshold [ms],delta_t_threshold [ms],passive_repolarization [mV],AP_Amplitude [mV],t_AP_Amplitude [ms],delta_ap_threshold [mV],delta_t_ap_threshold [ms],AHP_Amplitude [mV],t_AHP [ms],t_threshold_ahp [ms],max_first_derivate [mV/ms],t_max_1st_derivative [ms],min_first_derivate [mV/ms],t_min_1st_derivative [ms],dt t_min-t_max [ms],AP_with [ms],experiment_name
0,16,-50.50224812,-21.09374794,63.35,38.35,29.40850018,63.37500364,65.05,84.46875158,1.7,-60.90624815,73.55,10.2,114.41,64.35,-41.32,65.625,1.275,1.8,140325_12
1,17,-50.08106398,-21.40625312,63.8,38.8,28.67481086,62.93749809,65.5,84.34375121,1.7,-60.53125114,74.3,10.5,113.55,64.825,-42.83,66.075,1.25,1.775,140325_12
2,18,-52.39347027,-20.06250185,64.75,39.75,32.33096842,62.09374964,66.45,82.15625149,1.7,-61.21875159,74.9,10.15,109.01,65.725,-45.13,66.975,1.25,1.7,140325_12
3,19,-51.7325624,-20.71875024,61.65,36.65,31.01381216,62.15624884,63.35,82.87499908,1.7,-60.93749962,71.775,10.125,110.13,62.65,-42.83,63.9,1.25,1.75,140325_12
4,20,-50.61643659,-22.28124877,59.4,34.4,28.33518782,63.34374845,61.175,85.62499722,1.775,-59.62499883,69.825,10.425,114.34,60.475,-42.37,61.675,1.2,1.8,140325_12
5,21,-51.41881179,-22.56250065,58.7,33.7,28.85631114,63.40625137,60.5,85.96875202,1.8,-59.21874941,68.425,9.725,113.03,59.775,-43.36,61,1.225,1.775,140325_12
6,9,-56.47969142,-30.25000356,70.15,45.15,26.22968786,69.62499768,71.775,99.87500124,1.625,-70.62500436,82.2,12.05,156.71,71.125,-32.17,77.025,5.9,3.275,140325_06
7,10,-58.67015604,-30.46874888,65.65,40.65,28.20140715,69.75000352,67.3,100.2187524,1.65,-70.46874985,77.225,11.575,157.43,66.6,-32.57,72.4,5.8,3.175,140325_06
8,11,-58.12024918,-31.03124909,63.85,38.85,27.08900009,69.96875256,65.55,101.0000017,1.7,-69.87499911,75.25,11.4,156.78,64.825,-32.11,70.775,5.95,3.2,140325_06
9,12,-57.41022121,-30.96875138,62.025,37.025,26.44146983,69.87500191,63.75,100.8437533,1.725,-69.87500282,73.725,11.7,157.7,63,-31.38,68.95,5.95,3.225,140325_06
10,13,-58.5114057,-31.53124959,61.425,36.425,26.98015611,69.87500191,63.15,101.4062515,1.725,-69.74999979,73.325,11.9,157.83,62.425,-31.91,68.375,5.95,3.25,140325_06
