index,Unnamed: 0,analysis_id,experiment_name,experiment_label,species,genotype,sex,celltype,condition,individuum_id
0,0,-1,140325_12,Aps,mouse,None,None,DRGs,None,None
1,1,-1,140325_06,Aps,mouse,None,None,DRGs,None,None
2,2,-1,140325_07,Aps,mouse,None,None,DRGs,None,None
3,3,-1,140429_09,Aps,mouse,None,None,DRGs,None,None
4,4,-1,140324_10,Aps,mouse,None,None,DRGs,None,None
5,5,-1,140429_08,Aps,mouse,None,None,DRGs,None,None
6,6,-1,140429_11,Aps,mouse,None,None,DRGs,None,None
7,7,-1,140429_05,Aps,mouse,None,None,DRGs,None,None
8,8,-1,140324_08,Aps,mouse,None,None,DRGs,None,None
9,9,-1,140612_03,Aps,mouse,None,None,DRGs,None,None
10,10,-1,140429_04,Aps,mouse,None,None,DRGs,None,None
11,11,-1,140612_01,Aps,mouse,None,None,DRGs,None,None
12,12,-1,140429_13,Aps,mouse,None,None,DRGs,None,None
13,13,-1,140206_12,Aps,mouse,None,None,DRGs,None,None
14,14,-1,140324_01,Aps,mouse,None,None,DRGs,None,None
15,15,-1,140324_14,Aps,mouse,None,None,DRGs,None,None
16,16,-1,140612_09,Aps,mouse,None,None,DRGs,None,None
17,17,-1,140324_16,Aps,mouse,None,None,DRGs,None,None
18,18,-1,140324_02,Aps,mouse,None,None,DRGs,None,None
19,19,-1,140612_08,Aps,mouse,None,None,DRGs,None,None
20,20,-1,140324_06,Aps,mouse,None,None,DRGs,None,None
21,21,-1,140324_12,Aps,mouse,None,None,DRGs,None,None
22,22,-1,140324_04,Aps,mouse,None,None,DRGs,None,None
23,23,-1,140206_16,Aps,mouse,None,None,DRGs,None,None
24,24,-1,140206_02,Aps,mouse,None,None,DRGs,None,None
25,25,-1,140206_17,Aps,mouse,None,None,DRGs,None,None
26,26,-1,140325_08,Aps,mouse,None,None,DRGs,None,None
27,27,-1,140206_14,Aps,mouse,None,None,DRGs,None,None
28,28,-1,140206_04,Aps,mouse,None,None,DRGs,None,None
29,29,-1,140206_10,Aps,mouse,None,None,DRGs,None,None
30,30,-1,140325_18,Aps,mouse,None,None,DRGs,None,None
31,31,-1,140206_05,Aps,mouse,None,None,DRGs,None,None
32,32,-1,140206_06,Aps,mouse,None,None,DRGs,None,None
33,33,-1,140325_16,Aps,mouse,None,None,DRGs,None,None
34,34,-1,140206_08,Aps,mouse,None,None,DRGs,None,None
35,35,-1,140206_20,Aps,mouse,None,None,DRGs,None,None
36,36,-1,140325_14,Aps,mouse,None,None,DRGs,None,None
37,37,-1,140325_15,Aps,mouse,None,None,DRGs,None,None
38,38,-1,140206_21,Aps,mouse,None,None,DRGs,None,None
